THERMO ALL
   200.000  1000.000  6000.000
SO3                                         G   200.000  6000.000 1000.00      1
 9.14755451E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 9.14755451E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
HCN                                         G   200.000  6000.000 1000.00      1
 5.59061988E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 5.59061988E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
COS                                         G   200.000  6000.000 1000.00      1
 6.06879871E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 6.06879871E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
CS2                                         G   200.000  6000.000 1000.00      1
 6.50185135E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 6.50185135E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
S2                                          G   200.000  6000.000 1000.00      1
 4.47357835E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 4.47357835E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
S6                                          G   200.000  6000.000 1000.00      1
 1.59652170E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 1.59652170E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
S8                                          G   200.000  6000.000 1000.00      1
 2.22127645E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 2.22127645E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C2H6                                        G   200.000  6000.000 1000.00      1
 9.98178762E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 9.98178762E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C3H6                                        G   200.000  6000.000 1000.00      1
 1.23995987E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 1.23995987E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C3H8                                        G   200.000  6000.000 1000.00      1
 1.49559539E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 1.49559539E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C2H2                                        G   200.000  6000.000 1000.00      1
 6.41988574E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 6.41988574E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C6H6                                        G   200.000  6000.000 1000.00      1
 1.73797763E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 1.73797763E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
C7H8                                        G   200.000  6000.000 1000.00      1
 2.10556001E+01 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-1.00000000E+04 5.00000000E+00 2.10556001E+01 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-1.00000000E+04 5.00000000E+00                   4
END
